[1525132800] LOG ROTATION: DAILY
[1525132800] LOG VERSION: 2.0
[1525132800] CURRENT HOST STATE: control1.gate.rtf;UP;HARD;1;OK - 192.168.4.2: rta 0.010ms, lost 0%
[1525132800] CURRENT HOST STATE: control2.gate.rtf;UP;HARD;1;OK - 192.168.4.10: rta 0.164ms, lost 0%
[1525132800] CURRENT HOST STATE: mgen1.gate.rtf;UP;HARD;1;OK - 192.168.4.3: rta 1.392ms, lost 0%
[1525132800] CURRENT HOST STATE: mgen2.gate.rtf;UP;HARD;1;OK - 192.168.4.22: rta 0.111ms, lost 0%
[1525132800] CURRENT HOST STATE: pgen1.gate.rtf;UP;HARD;1;OK - 192.168.4.23: rta 0.185ms, lost 0%
[1525132800] CURRENT HOST STATE: pgen2.gate.rtf;UP;HARD;1;OK - 192.168.4.25: rta 0.171ms, lost 0%
[1525137221] npcdmod: /omd/sites/prod/etc/pnp4nagios/npcd.cfg initialized
[1525137221] npcdmod: spool_dir = '/omd/sites/prod/var/pnp4nagios/spool/'.
[1525137221] npcdmod: perfdata file '/omd/sites/prod/var/pnp4nagios/perfdata.dump'.
[1525137221] npcdmod: Ready to run to have some fun!
[1525137221] Event broker module '/omd/sites/prod/lib/npcdmod.o' initialized successfully.
[1525137221] livestatus: Setting number of client threads to 20
[1525137221] livestatus: Check_MK Inventory directory '/omd/sites/prod/var/check_mk/inventory/' not existing!
[1525137221] livestatus: Livestatus 1.2.8p15 by Mathias Kettner. Socket: '/omd/sites/prod/tmp/run/live'
[1525137221] livestatus: Please visit us at http://mathias-kettner.de/
[1525137221] livestatus: Finished initialization. Further log messages go to /omd/sites/prod/var/nagios/livestatus.log
[1525137221] Event broker module '/omd/sites/prod/lib/mk-livestatus/livestatus.o' initialized successfully.
[1525137221] TIMEPERIOD TRANSITION: 24X7;-1;1
[1525137221] logging initial states
[1525137221] INITIAL HOST STATE: control1.gate.rtf;UP;HARD;1;OK - 192.168.4.2: rta 0.011ms, lost 0%
[1525137221] INITIAL HOST STATE: control2.gate.rtf;UP;HARD;1;OK - 192.168.4.10: rta 0.178ms, lost 0%
[1525137221] INITIAL HOST STATE: mgen1.gate.rtf;UP;HARD;1;OK - 192.168.4.3: rta 1.854ms, lost 0%
[1525137221] INITIAL HOST STATE: mgen2.gate.rtf;UP;HARD;1;OK - 192.168.4.22: rta 0.126ms, lost 0%
[1525137221] INITIAL HOST STATE: pgen1.gate.rtf;UP;HARD;1;OK - 192.168.4.23: rta 0.155ms, lost 0%
[1525137221] INITIAL HOST STATE: pgen2.gate.rtf;UP;HARD;1;OK - 192.168.4.25: rta 0.089ms, lost 0%
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Antenna_Door_Open_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Az_Run_Line_Active;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Brake_Bypass_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Brakes_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Fans_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Stowed_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Temperature_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_COHO_Gate_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Circulator_Temperature_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_El_Run_Line_Active;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Elevation_Brake_Bypass_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Elevation_Brakes_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Elevation_Fans_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Elevation_Limit_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Elevation_Stowed_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Elevation_Temperature_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Mitch_Switch_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Oil_Pressure_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Pedestal_Switch_Disabled_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_RF_Disabled_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_RF_Ladder_Lockout_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Wave_Guide_Pressure_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;ANT_Wave_Guide_Switch_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;CPU load;OK;HARD;1;OK - 15 min load 0.08 at 16 Cores (0.01 per Core)
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;CPU utilization;OK;HARD;1;OK - user: 1.1%, system: 0.4%, wait: 0.1%, steal: 0.0%, guest: 0.0%, total: 1.5%
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Check_MK;OK;HARD;1;OK - Agent version 1.2.8p26, execution time 0.6 sec
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Check_MK Discovery;OK;HARD;1;OK - no unmonitored services found, no vanished services found
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Disk IO SUMMARY;OK;HARD;1;OK - Utilization: 0.8%, Read: 409.60 B/s, Write: 94.01 kB/s, Average Wait: 70.42 ms, Average Read Wait: 7.83 ms, Average Write Wait: 70.71 ms, Latency: 0.96 ms
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Filesystem /;OK;HARD;1;OK - 63.3% used (24.71 of 39.04 GB), trend: +488.95 MB / 24 hours
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Filesystem /data;OK;HARD;1;OK - 25.6% used (401.30 GB of 1.53 TB), trend: +51.35 MB / 24 hours
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Filesystem /home;OK;HARD;1;OK - 63.9% used (30.15 of 47.17 GB), trend: +193.60 kB / 24 hours
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;HP_DataMapper_primary;OK;HARD;1;OK - OK
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;HP_DsFileDist_ext_data;OK;HARD;1;OK - OK
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;HP_DsServerMgr_primary;OK;HARD;1;OK - OK
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;HP_Fmq2Fmq_monitoring;OK;HARD;1;OK - OK
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;HP_InputWatcher_spol_cams;OK;HARD;1;OK - OK
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;HP_Janitor_logs;OK;HARD;1;OK - OK
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;HP_Janitor_sysview;OK;HARD;1;OK - OK
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;HP_LdataWatcher_sysview;OK;HARD;1;OK - OK
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;HP_Scout_primary;OK;HARD;1;OK - OK
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;HP_SpolMonCtrl_ops;OK;HARD;1;OK - OK
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;HawkSummary_Data;OK;HARD;1;OK - 0 data set(s) have problems
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;HawkSummary_Processes;OK;HARD;1;OK - Services ok/prob: 10/0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Interface 2;OK;HARD;1;OK - [em1] (up) MAC: 78:2b:cb:0d:ae:c0, 1 Gbit/s, in: 14.46 kB/s(0.0%), out: 28.07 kB/s(0.0%)
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Interface 3;OK;HARD;1;OK - [em2] (up) MAC: 78:2b:cb:0d:ae:c1, 1 Gbit/s, in: 80.03 B/s(0.0%), out: 84.17 B/s(0.0%)
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Kernel Context Switches;OK;HARD;1;OK - 1718/s
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Kernel Major Page Faults;OK;HARD;1;OK - 0/s
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Kernel Process Creations;OK;HARD;1;OK - 9/s
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Logins;OK;HARD;1;OK - 6 logins on system (warn/crit at 20/30)
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Memory;OK;HARD;1;OK - RAM used: 1.29 GB of 11.56 GB, Swap used: 40.09 MB of 3.91 GB, Total virtual memory used: 1.33 GB of 15.47 GB (8.6%),
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Mount options of /;OK;HARD;1;OK - mount options exactly as expected
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Mount options of /data;OK;HARD;1;OK - mount options exactly as expected
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Mount options of /home;OK;HARD;1;OK - mount options exactly as expected
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;NTP Time;OK;HARD;1;OK - stratum 2, offset 0.0000 ms, reference: C0A804F8 (192.168.4.248)
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Number of threads;OK;HARD;1;OK - 517 threads
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;OMD prod apache;OK;HARD;1;OK - 0.74 Requests/s, 0.08 Seconds serving/s, 17.35 kB Sent/s
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;OMD prod performance;OK;HARD;1;OK - Host Checks: 0.1/s, Service Checks: 5.8/s, Process Creations: 0.5/s, Livestatus Connects: 0.2/s, Livestatus Requests: 0.6/s, Log Messages: 0.1/s, 6 Hosts, 351 Services, Core version: 3.5.0, Livestatus version: 1.2.8p15
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;OMD prod status;OK;HARD;1;OK - running
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;PM_AC_Power;OK;HARD;1;OK - Source 2
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;PM_Frequency;OK;HARD;1;OK - 600
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;PM_Source_Switched;OK;HARD;1;OK - ---
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;PM_TotalKW;OK;HARD;1;OK - 6530
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;PM_VoltageA;OK;HARD;1;OK - 122
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;PM_VoltageB;OK;HARD;1;OK - 121
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;PM_VoltageC;OK;HARD;1;OK - 122
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;PM_XmitPowerDbmH;WARNING;HARD;1;WARN - WARNING - 88.35
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;PM_XmitPowerDbmTxTop;OK;HARD;1;OK - 88.62
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;PM_XmitPowerDbmV;WARNING;HARD;1;WARN - WARNING - 88.25
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Postfix Queue;OK;HARD;1;OK - deferred queue length is 0, active queue length is 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TCP Connections;OK;HARD;1;OK - ESTABLISHED: 48, TIME_WAIT: 159, FIN_WAIT1: 54, LISTEN: 35
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TEMP_Annex;OK;HARD;1;OK - 31.9
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TEMP_CIRC-H;OK;HARD;1;OK - 21.6
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TEMP_CIRC-V;OK;HARD;1;OK - 22.8
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TEMP_Klystron;OK;HARD;1;OK - 38.2
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TEMP_KlystronBody;OK;HARD;1;OK - 28.0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TEMP_KlystronExhaust;OK;HARD;1;OK - 29.4
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TEMP_LNA-H;OK;HARD;1;OK - 21.9
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TEMP_LNA-V;OK;HARD;1;OK - 21.3
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TEMP_RX-enclosure;OK;HARD;1;OK - 23.3
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TEMP_RX-plate;OK;HARD;1;OK - 19.8
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TEMP_Rear_Wall;OK;HARD;1;OK - 21.9
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TEMP_SCC;WARNING;HARD;1;WARN - WARNING - 33.9
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TEMP_TP-enclosure;OK;HARD;1;OK - 18.9
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TEMP_TX-coupler-H;OK;HARD;1;OK - 18.6
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TEMP_UPS_Container;OK;HARD;1;OK - 27.5
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Cabinet_Air_Temperature_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Cabinet_Airflow_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Cabinet_Interlock_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Charging_System_Fail_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Circulator_Temperature_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Filament_PS_Voltage_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Filament_ps_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Focus_Coil_Airflow_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Focus_Coil_Current_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Focus_Coil_PS_Voltage_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Inverse_Diode_Current_HV_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Klystron_Air_Temperature_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Klystron_Airflow_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Klystron_Current_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Klystron_Filament_Current_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Klystron_Vacuum_Pump_Current_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Klystron_Warmup_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_M15_VDC_PS_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Main_Power_Voltage_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Maintenance_Required_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Modulator_Inverse_Current_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Modulator_Overload_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Modulator_Switch_Fail_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Modulator_Switch_Maintenance_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_P15_VDC_PS_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_P28_VDC_PS_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_P45_VDC_PS_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_P5_VDC_PS_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_PRF_Limit_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Post_Charge_Regulator_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Spectrum_Filter_Pressure_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Transmitter_Avail_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Transmitter_Battery_Charging_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Transmitter_Oil_Level_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Transmitter_Oil_Temperature_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Transmitter_Overcurrent_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Transmitter_Overvoltage_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Transmitter_Spare_0_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Transmitter_Spare_1_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Trigger_Amplifier_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Vacuum_Pump_PS_Voltage_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_W_G_PFN_Transfer_Interlock_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Waveguide_Arc_VSWR_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Waveguide_Pressure_Humidity_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;TX_Waveguide_Switch_Position_Fault;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;UPSB_Alarms;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;UPSB_BatteryState;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;UPSB_OutputState;OK;HARD;1;OK - 0
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;UPS_Alarms;OK;HARD;1;OK - OK
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;UPS_BatteryState;OK;HARD;1;OK - OK
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;UPS_BatteryVoltage;OK;HARD;1;OK - 328
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;UPS_OutputState;OK;HARD;1;OK - OK
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;Uptime;OK;HARD;1;OK - up since Fri Apr 13 15:09:49 2018 (17d 10:02:48)
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;WG_PressurePSI;OK;HARD;1;OK - 5.60
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;WG_RH;OK;HARD;1;OK - 4.56
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;WG_TempC;OK;HARD;1;OK - 22.28
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;WX_RH;OK;HARD;1;OK - 27.90
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;WX_hailIntensityHitsPerCm2;OK;HARD;1;OK - 0.00
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;WX_heatingTempC;OK;HARD;1;OK - 19.80
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;WX_heatingVoltage;OK;HARD;1;OK - 24.00
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;WX_pressureHpa;OK;HARD;1;OK - 813.30
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;WX_rainRateMmPerHr;OK;HARD;1;OK - 0.00
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;WX_supplyVoltage;OK;HARD;1;OK - 24.10
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;WX_tempC;OK;HARD;1;OK - 20.10
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;WX_windDirnDeg;OK;HARD;1;OK - 118.00
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;WX_windSpeedMps;OK;HARD;1;OK - 1.90
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;XMIT_High_Voltage_Power;OK;HARD;1;OK - 65535
[1525137221] INITIAL SERVICE STATE: control1.gate.rtf;XMIT_Panel_Power;OK;HARD;1;OK - 63417
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;CPU load;OK;HARD;1;OK - 15 min load 0.09 at 16 Cores (0.01 per Core)
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;CPU utilization;OK;HARD;1;OK - user: 0.2%, system: 0.1%, wait: 0.0%, steal: 0.0%, guest: 0.0%, total: 0.3%
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Check_MK;OK;HARD;1;OK - Agent version 1.2.8p18, execution time 0.2 sec
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Check_MK Discovery;OK;HARD;1;OK - no unmonitored services found, no vanished services found
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Disk IO SUMMARY;OK;HARD;1;OK - Utilization: 0.1%, Read: 0.00 B/s, Write: 56.27 kB/s, Average Wait: 1.63 ms, Average Read Wait: 0.00 ms, Average Write Wait: 1.63 ms, Latency: 0.10 ms
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Filesystem /;OK;HARD;1;OK - 39.0% used (14.96 of 38.32 GB), trend: -200.41 MB / 24 hours
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Filesystem /data;OK;HARD;1;OK - 5.3% used (380.17 GB of 6.96 TB), trend: 0.00 B / 24 hours
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Filesystem /home;OK;HARD;1;OK - 72.8% used (34.34 of 47.17 GB), trend: +1.53 kB / 24 hours
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Interface 2;OK;HARD;1;OK - [em1] (up) MAC: 78:2b:cb:0d:b1:3c, 1 Gbit/s, in: 3.35 kB/s(0.0%), out: 1.05 kB/s(0.0%)
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Interface 3;OK;HARD;1;OK - [em2] (up) MAC: 78:2b:cb:0d:b1:3d, 1 Gbit/s, in: 8.96 B/s(0.0%), out: 0.00 B/s(0.0%)
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Kernel Context Switches;OK;HARD;1;OK - 282/s
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Kernel Major Page Faults;OK;HARD;1;OK - 0/s
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Kernel Process Creations;OK;HARD;1;OK - 7/s
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Logins;OK;HARD;1;OK - 1 logins on system (warn/crit at 20/30)
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Memory;OK;HARD;1;OK - RAM used: 856.08 MB of 11.56 GB, Swap used: 0.00 B of 3.72 GB, Total virtual memory used: 856.08 MB of 15.29 GB (5.5%),
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Mount options of /;OK;HARD;1;OK - mount options exactly as expected
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Mount options of /data;OK;HARD;1;OK - mount options exactly as expected
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Mount options of /home;OK;HARD;1;OK - mount options exactly as expected
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;NTP Time;OK;HARD;1;OK - stratum 2, offset 0.0000 ms, reference: 192.168.4.248 (ntp.gate.rtf)
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Number of threads;OK;HARD;1;OK - 391 threads
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;OMD prod apache;OK;HARD;1;OK - No activity since last check
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;OMD prod performance;CRITICAL;HARD;1;CRIT - Host Checks: 0.1/s, Service Checks: 3.8/s, Process Creations: 0.2/s, Livestatus Connects: 0.0/s, Livestatus Requests: 0.0/s, Log Messages: 0.0/s, 6 Hosts, 232 Services, Core version: 3.5.0, Livestatus version: 1.2.8p15, Notifications are disabled(!!)
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;OMD prod status;OK;HARD;1;OK - running
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Postfix Queue;OK;HARD;1;OK - deferred queue length is 0, active queue length is 0
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;TCP Connections;OK;HARD;1;OK - ESTABLISHED: 2, TIME_WAIT: 3, LISTEN: 10
[1525137221] INITIAL SERVICE STATE: control2.gate.rtf;Uptime;OK;HARD;1;OK - up since Fri Apr 13 15:10:00 2018 (17d 10:03:30)
[1525137221] INITIAL SERVICE STATE: mgen1.gate.rtf;CPU load;OK;HARD;1;OK - 15 min load 1.83 at 16 Cores (0.11 per Core)
[1525137221] INITIAL SERVICE STATE: mgen1.gate.rtf;CPU utilization;OK;HARD;1;OK - user: 10.4%, system: 1.2%, wait: 3.7%, steal: 0.0%, guest: 0.0%, total: 15.3%
[1525137221] INITIAL SERVICE STATE: mgen1.gate.rtf;Check_MK;OK;HARD;1;OK - Agent version 1.2.8p26, execution time 0.5 sec
[1525137221] INITIAL SERVICE STATE: mgen1.gate.rtf;Check_MK Discovery;OK;HARD;1;OK - no unmonitored services found, no vanished services found
[1525137221] INITIAL SERVICE STATE: mgen1.gate.rtf;Disk IO SUMMARY;OK;HARD;1;OK - Utilization: 23.3%, Read: 73.98 MB/s, Write: 30.67 kB/s, Average Wait: 30.06 ms, Average Read Wait: 30.20 ms, Average Write Wait: 2.39 ms, Latency: 29.73 ms
